key,type,summary,date_opened,reporter,parent_key,current_epic,current_status,current_resolution,current_assignee,current_labels,proposed_epic,proposed_status,proposed_resolution,proposed_assignee,cat-*,proj-*,study-*,notes
CDM-220,Subtask,DELFI-L101 Blood Sample Collection Pathology Dates - Incorporate MSK Data,2022-11-04,Eric Dixon,CDM-199,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-programming,proj-sample,study-l101,Date before 2026; blood sample pathology dates pipeline; [subtask: parent stays at CDM-199; epic inherited]
CDM-221,Subtask,DELFI-L101 Report Extraction Date Verification - Incorporate MSK Data,2022-11-04,Eric Dixon,CDM-199,CDM-79,Dismissed,Done,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,Eric Dixon (← reporter),cat-programming,proj-edc,study-l101,Date before 2026; EDC report extraction date verification; was Dismissed (Resolution likely 'Done' — backfill to Won't Do); [subtask: parent stays at CDM-199; epic inherited]
CDM-222,Subtask,DELFI-L101 Inclusion 7 Review - Incorporate MSK Data,2022-11-07,Eric Dixon,CDM-199,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-programming,proj-pipeline,study-l101,Date before 2026; inclusion criteria pipeline update; [subtask: parent stays at CDM-199; epic inherited]
CDM-223,Subtask,DELFI-L101 Protocol Deviation Review - Incorporate MSK Data,2022-11-07,Eric Dixon,CDM-199,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-programming,proj-pipeline,study-l101,Date before 2026; protocol deviation pipeline update; [subtask: parent stays at CDM-199; epic inherited]
CDM-224,Task,DELFI-L201 Suspicious Cases Without Pathology Reports,2022-11-08,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-reporting,"proj-dqr,proj-metrics",study-l201,Date before 2026; suspicious cases DQR listing
CDM-225,Task,L201 Jupyter Notebook EDC Metrics,2022-11-16,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-programming,proj-pipeline,study-l201,Date before 2026; Jupyter notebook EDC metrics pipeline
CDM-226,Task,Data Release Process Improvements,2022-11-16,Lee Ming Sun (inactive),,,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,Date before 2026; data release process BAU improvements
CDM-227,Subtask,DELFI-L101: Clean Patient Tracker - Update Evaluation and Priority Column,2022-11-17,Eric Dixon,CDM-262,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-cpt,study-l101,Date before 2026; CPT update with evaluation/priority; [subtask: parent stays at CDM-262; epic inherited]
CDM-228,Task,DELFI-L101 Refactor l101datar cdm managed files,2022-11-18,Eric Dixon,,,Dismissed,Done,Eric Dixon,,Pre-2026 Legacy,Dismissed,Won't Do,Eric Dixon,cat-programming,proj-pipeline,study-l101,Date before 2026; pipeline refactor CDM files; was Dismissed (Resolution likely 'Done' — backfill to Won't Do)
CDM-229,Task,DELFI-L101 Exclusion 2 Review,2022-11-28,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-dqr,study-l101,Date before 2026; DQR listing for exclusion review
CDM-230,Subtask,DELFI-L101: Clean Patient Tracker - Update Expected_FU,2022-12-01,Eric Dixon,CDM-262,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-cpt,study-l101,Date before 2026; CPT column update; [subtask: parent stays at CDM-262; epic inherited]
CDM-231,Task,DELFI-L101: Update Subject Info evaluation for ldt validation,2022-12-02,Eric Dixon,CDM-79,CDM-79,Dismissed,Done,Lee Ming Sun,,Pre-2026 Legacy,Dismissed,Won't Do,Lee Ming Sun (inactive),cat-operations,proj-cpt,study-l101,[Sonnet re-pass] Update Subject Info evaluation for LDT validation — subject info table is CPT.; Date before 2026; subject info evaluation validation; was Dismissed (Resolution likely 'Done' — backfill to Won't Do)
CDM-232,Task,DELFI-L101: Site Payments ,2022-12-08,Eric Dixon,CDM-79,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cro,study-l101,[Sonnet re-pass] DELFI-L101: Site Payments — site payments processed via CRO interface.; Date before 2026; site payments processing
CDM-233,Subtask,DELFI-L101: Update FU12_Expected data to 14-Feb-2023,2022-12-16,Eric Dixon,CDM-262,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-reporting,proj-cpt,study-l101,Date before 2026; CPT column update for FU timing; [subtask: parent stays at CDM-262; epic inherited]
CDM-234,Subtask,Update L201 EDC LIMS Reconciliation for Character Values in BCSPID# Fields,2023-01-03,Lee Ming Sun (inactive),CDM-144,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-edc,study-l201,Date before 2026; EDC-LIMS reconciliation update; [subtask: parent stays at CDM-144; epic inherited]
CDM-235,Subtask,DELFI-L101 Cancer Status Review - fix typo in filter statement,2023-01-09,Eric Dixon,CDM-348,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-programming,proj-cancer-review,study-l101,Date before 2026; cancer status review bug fix; [subtask: parent stays at CDM-348; epic inherited]
CDM-236,Subtask,Add SDV Status of Consent Form into Listing,2023-01-09,Lee Ming Sun (inactive),CDM-168,CDM-80,Done,Done,Lee Ming Sun,,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-reporting,proj-dqr,study-l201,Date before 2026; consent review DQR listing update; [subtask: parent stays at CDM-168; epic inherited]
CDM-237,Subtask,Add New Column: Cancer Yes/No,2023-01-09,Lee Ming Sun (inactive),CDM-224,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-reporting,proj-dqr,study-l201,Date before 2026; suspicious cases DQR listing update; [subtask: parent stays at CDM-224; epic inherited]
CDM-238,Subtask,DELFI-L101: Clean Patient Tracker - add LDT Testing Subject List - Monitoring & Cleaning column,2023-01-10,Eric Dixon,CDM-262,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-reporting,proj-cpt,study-l101,Date before 2026; CPT column addition for LDT testing; [subtask: parent stays at CDM-262; epic inherited]
CDM-239,Subtask,Reorder Fields for Easier Review,2023-01-13,Lee Ming Sun (inactive),CDM-168,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-reporting,proj-dqr,study-l201,Date before 2026; consent review DQR listing field reorder; [subtask: parent stays at CDM-168; epic inherited]
CDM-240,Subtask,DELF-L101: Pending Discontinuation Review update,2023-01-17,Eric Dixon,CDM-341,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-dqr,study-l101,Date before 2026; pending discontinuation DQR listing update; [subtask: parent stays at CDM-341; epic inherited]
CDM-241,Task,DELFI-L201 Pipeline Refactor Update to delfiawsr::read_s3(),2023-01-19,Lee Ming Sun (inactive),,,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-programming,proj-pipeline,study-l201,Date before 2026; pipeline refactor for S3 read function
CDM-242,Subtask,DELFI-L101: Incorporate MSK subjects into Non-Cancer Status Review,2023-01-19,Eric Dixon,CDM-199,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-programming,proj-cancer-review,study-l101,Date before 2026; non-cancer status review pipeline update; [subtask: parent stays at CDM-199; epic inherited]
CDM-243,Subtask,DELFI-L101: Unassigned Cohort Review,2023-01-19,Eric Dixon,CDM-181,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-programming,proj-dqr,study-l101,Date before 2026; unassigned cohort DQR listing update; [subtask: parent stays at CDM-181; epic inherited]
CDM-244,Subtask,Update logic to summarize Clario report to have unique records,2023-01-20,Lee Ming Sun (inactive),CDM-224,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-dqr,study-l201,Date before 2026; suspicious cases DQR logic update; [subtask: parent stays at CDM-224; epic inherited]
CDM-245,Subtask,Update Rave EDC Data Entry to include total late forms for average and max late tables,2023-01-20,Lee Ming Sun (inactive),CDM-195,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-metrics,study-l201,Date before 2026; EDC metrics report update; [subtask: parent stays at CDM-195; epic inherited]
CDM-246,Subtask,[Bug Fix] Expected Visit Date Calculation for 12 Month Follow-Up Visit,2023-01-24,Lee Ming Sun (inactive),CDM-172,CDM-80,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-programming,proj-metrics,study-l201,Date before 2026; EDC metrics calculation bug fix; [subtask: parent stays at CDM-172; epic inherited]
CDM-247,Subtask,[Bug Fix] Address review status joining issues,2023-01-24,Lee Ming Sun (inactive),CDM-224,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-dqr,study-l201,Date before 2026; suspicious cases DQR bug fix; [subtask: parent stays at CDM-224; epic inherited]
CDM-248,Task,DELFI-L201 Re-Enrollment List,2023-01-25,Lee Ming Sun (inactive),CDM-80,CDM-80,To Do,,Lee Ming Sun,,Pre-2026 Legacy,Dismissed,Won't Do,Lee Ming Sun (inactive),cat-reporting,proj-dqr,study-l201,Date before 2026; DQR listing for re-enrollment
CDM-249,Subtask,Update CT and BC windows and Clarify Conditions for CT Scan Upload,2023-01-26,Lee Ming Sun (inactive),CDM-201,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-dqr,study-l201,Date before 2026; protocol deviation DQR logic update; [subtask: parent stays at CDM-201; epic inherited]
CDM-250,Subtask,Update SDV Status Logic,2023-01-31,Lee Ming Sun (inactive),CDM-168,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-dqr,study-l201,Date before 2026; consent review DQR SDV logic update; [subtask: parent stays at CDM-168; epic inherited]
CDM-251,Subtask,Add ClinOps Reviewer Column,2023-01-31,Lee Ming Sun (inactive),CDM-224,CDM-80,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-reporting,proj-dqr,study-l201,Date before 2026; suspicious cases DQR column addition; [subtask: parent stays at CDM-224; epic inherited]
CDM-252,Subtask,DELFI-L101: Pending Discontinuation Review - Remove Pending Report Extraction Derivation,2023-02-01,Eric Dixon,CDM-341,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-programming,proj-dqr,study-l101,Date before 2026; pending discontinuation DQR derivation update; [subtask: parent stays at CDM-341; epic inherited]
CDM-253,Subtask,DELFI-L101: 12 Month Cancer Outcomes Review,2023-02-01,Eric Dixon,CDM-152,CDM-79,Done,Done,UNASSIGNED,DQR_Listings,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-reporting,"proj-cancer-review,proj-dqr",study-l101,Date before 2026; 12-month cancer outcomes DQR listing; [subtask: parent stays at CDM-152; epic inherited]
CDM-254,Task,DELFI-L101: Report Extraction Date Verification,2023-02-01,Eric Dixon,CDM-79,CDM-79,Done,Done,UNASSIGNED,DQR_Listings,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-reporting,proj-dqr,study-l101,Date before 2026; DQR listing for report extraction date
CDM-255,Subtask,Typo fix: File Deletion Required?,2023-02-01,Eric Dixon,CDM-152,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cancer-review,study-l101,Date before 2026; typo fix in cancer outcomes review; [subtask: parent stays at CDM-152; epic inherited]
CDM-256,Subtask,Typo fix: File Deletion Required?,2023-02-01,Eric Dixon,CDM-254,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-metrics,study-l101,"[Sonnet re-pass] Typo fix in Report Extraction Date Verification — subtask of a reporting artifact, cat-reporting.; Date before 2026; typo fix in DQR listing; [subtask: parent stays at CDM-254; epic inherited]"
CDM-257,Task,DELFI-L201 Lung RADS 4 - Expected Pathology,2023-02-03,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Lee Ming Sun,,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-reporting,proj-dqr,study-l201,Date before 2026; DQR listing for Lung RADS pathology
CDM-258,Task,DELFI-L101: Requirements for creating Site 201-299 ,2023-02-07,Eric Dixon,,,Dismissed,Done,Eric Dixon,,Pre-2026 Legacy,Dismissed,Won't Do,Eric Dixon,cat-operations,proj-edc,study-l101,Date before 2026; EDC site creation requirements; was Dismissed (Resolution likely 'Done' — backfill to Won't Do)
CDM-259,Task,DELFI-L101: Projected 12 Month Follow Up Visit Report,2023-02-08,Eric Dixon,CDM-79,CDM-79,Done,Done,Eric Dixon,DQR_Listings,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-dqr,study-l101,Date before 2026; DQR listing for projected 12-month FU
CDM-260,Subtask,Update edc_crf_metadata_summarize_page_data() to adjust pending_sdv,2023-02-08,Lee Ming Sun (inactive),CDM-166,CDM-80,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-metrics,study-l201,Date before 2026; EDC metrics function update; [subtask: parent stays at CDM-166; epic inherited]
CDM-261,Task,Update NYU FANSS Tube Barcode IDs,2023-02-09,Erica Peters (inactive),,,Dismissed,Done,Erica Peters,,Pre-2026 Legacy,Dismissed,Won't Do,Erica Peters (inactive),cat-operations,proj-sample,study-l101,Date before 2026; sample tube barcode ID management; was Dismissed (Resolution likely 'Done' — backfill to Won't Do)
CDM-262,Task,DELFI-L101 Clean Patient Tracker,2023-02-09,Eric Dixon,CDM-79,CDM-79,Done,Done,Eric Dixon,DQR_Listings,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-cpt,study-l101,Pre-2026 (2023-02-09). Clean Patient Tracker reporting.
CDM-263,Subtask,Update FU date references from 14FEB2023 to 08MAR2023 & 31MAR2023,2023-02-09,Eric Dixon,CDM-278,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cpt,study-l101,Pre-2026. Subject table update. Subtask of L101 table.; [subtask: parent stays at CDM-278; epic inherited]
CDM-264,Subtask,DQR: Exclusion 1 Review - handle duplicate records in raw data,2023-02-10,Lee Ming Sun (inactive),CDM-150,CDM-80,In Progress,,Lee Ming Sun,,Pre-2026 Legacy,Dismissed,Won't Do,Lee Ming Sun (inactive),cat-operations,proj-dqr,study-l201,Pre-2026. DQR exclusion review. From parent summary.; WAS in-progress; rule 3 cancels — confirm work doesn't continue; [subtask: parent stays at CDM-150; epic inherited]
CDM-265,Subtask,DQR: Exclusion 2 Review - handle duplicate records in raw data,2023-02-10,Lee Ming Sun (inactive),CDM-151,CDM-80,In Progress,,Lee Ming Sun,,Pre-2026 Legacy,Dismissed,Won't Do,Lee Ming Sun (inactive),cat-operations,proj-dqr,study-l201,Pre-2026. DQR exclusion 2 review. From parent summary.; WAS in-progress; rule 3 cancels — confirm work doesn't continue; [subtask: parent stays at CDM-151; epic inherited]
CDM-266,Subtask,Update Expected SDV to only be assessed for Entered Pages,2023-02-13,Lee Ming Sun (inactive),CDM-166,CDM-80,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,"proj-edc,proj-metrics",study-l201,Pre-2026. EDC page status metrics. From parent summary.; [subtask: parent stays at CDM-166; epic inherited]
CDM-267,Subtask,Update Inclusion 5 Review Logic,2023-02-16,Lee Ming Sun (inactive),CDM-148,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,proj-dqr,study-l201,Pre-2026. Inclusion 5 review logic. From parent.; [subtask: parent stays at CDM-148; epic inherited]
CDM-268,Task,LEMA: Merge new columns,2023-02-17,Erica Peters (inactive),,,Done,Done,Erica Peters,,Pre-2026 Legacy,Done,Done,Erica Peters (inactive),cat-programming,proj-pipeline,study-cross,[Sonnet re-pass] LEMA: Merge new columns — LEMA is a pipeline/analysis stitcher dataset.; Pre-2026. Generic merge task (LEMA). No study context.
CDM-269,Task,DELFI-L101: Posit Connect CDM Pipeline Development,2023-02-17,Eric Dixon,CDM-79,CDM-79,Dismissed,Done,Eric Dixon,DQR_Listings,Pre-2026 Legacy,Dismissed,Won't Do,Eric Dixon,cat-programming,proj-pipeline,study-l101,Pre-2026. Pipeline development for CDM. Parent is L101.; was Dismissed (Resolution likely 'Done' — backfill to Won't Do)
CDM-270,Task,DELFI-L201 Plasma Volume Verification,2023-02-17,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,proj-sample,study-l201,Pre-2026. Sample verification work. Parent is L201.
CDM-271,Task,DELFI-L201 Sample Recollection Due to Hemolysis,2023-02-17,Lee Ming Sun (inactive),CDM-80,CDM-80,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-sample,study-l201,Pre-2026. Sample recollection. Parent L201.
CDM-272,Task,TS: Automate Final Data S3 folder into one Excel workbook,2023-02-17,Erica Peters (inactive),,,Done,Done,Erica Peters,,Pre-2026 Legacy,Done,Done,Erica Peters (inactive),cat-programming,proj-pipeline,study-cross,"[Sonnet re-pass] TS: Automate Final Data S3 folder into one Excel workbook — pipeline automation, S3 data consolidation.; Pre-2026. Automation script (TS data). No study."
CDM-273,Subtask,Add Subject Disposition form status and remove subjects that have completed required forms,2023-02-21,Eric Dixon,CDM-152,CDM-79,Done,Done,Eric Dixon,DQR_Listings,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-operations,"proj-cpt,proj-cancer-review",study-l101,Pre-2026. CPT update with cancer status. Parent L101.; [subtask: parent stays at CDM-152; epic inherited]
CDM-274,Subtask,Update SDV Status Logic - account for metric lag for newly entered data,2023-02-22,Lee Ming Sun (inactive),CDM-168,CDM-80,Done,Done,Lee Ming Sun,,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,proj-dqr,study-l201,Pre-2026. DQR consent listing bug fix.; [subtask: parent stays at CDM-168; epic inherited]
CDM-275,Subtask,Transition L201 Jupyter Notebook EDC Metrics to using PositConnect and Restructure Outputs,2023-03-01,Lee Ming Sun (inactive),CDM-225,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-programming,proj-metrics,study-l201,Pre-2026. Notebook/metrics pipeline transition. Parent L201.; [subtask: parent stays at CDM-225; epic inherited]
CDM-276,Subtask,Update 'Evaluation' column for LDT Validation ,2023-03-01,Eric Dixon,CDM-278,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cpt,study-l101,Pre-2026. CPT column update. Parent L101 table.; [subtask: parent stays at CDM-278; epic inherited]
CDM-277,Subtask,Update 'AV 2023 Samples?' column to only include Cohort C ,2023-03-01,Eric Dixon,CDM-278,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cpt,study-l101,Pre-2026. CPT AV column update. Parent L101.; [subtask: parent stays at CDM-278; epic inherited]
CDM-278,Task,DELFI-L101 Subject Information Table,2023-03-01,Eric Dixon,CDM-79,CDM-79,Done,Done,Eric Dixon,CPT_Component,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-cpt,study-l101,Pre-2026. CPT subject information table. Parent L101.
CDM-279,Subtask,Update Samples_Selected_2022_MCED_IA with AV_Cross_Reactivity_Subject_List in CPT,2023-03-01,Eric Dixon,CDM-262,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cpt,study-l101,Pre-2026. CPT AV cross-reactivity update.; [subtask: parent stays at CDM-262; epic inherited]
CDM-280,Subtask,Fix duplication of rows in Blood Specimen Collection Listing,2023-03-03,Vincent Puga-Aragon (inactive),CDM-179,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,proj-dqr,study-l201,Pre-2026. DQR blood specimen review fix.; [subtask: parent stays at CDM-179; epic inherited]
CDM-281,Task,Create Non-cancer Control dataset,2023-03-03,Erica Peters (inactive),,,Done,Done,Erica Peters,,Pre-2026 Legacy,Done,Done,Erica Peters (inactive),cat-programming,proj-pipeline,study-cross,[Sonnet re-pass] Create Non-cancer Control dataset — curating analysis dataset is pipeline work.; Pre-2026. Generic dataset creation. No study context.
CDM-282,Task,DELFI-L201 Other Cancer Type Review,2023-03-07,Lee Ming Sun (inactive),CDM-80,CDM-80,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,proj-cancer-review,study-l201,Pre-2026. Cancer type review. Parent L201.
CDM-283,Task,Upload Clario Data to S3,2023-03-07,Vincent Puga-Aragon (inactive),CDM-80,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-programming,proj-metrics,study-l201,Pre-2026. Clario data upload (metric tracker). Parent L201.
CDM-284,Task,Create a utility script for restoring old comments,2023-03-08,Vincent Puga-Aragon (inactive),CDM-80,CDM-80,In Progress,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Dismissed,Won't Do,Vincent Puga-Aragon (inactive),cat-programming,proj-pipeline,study-l201,[Sonnet re-pass] Create utility script for restoring old comments — utility script for pipeline/data tooling.; Pre-2026. Utility script. Parent L201.; WAS in-progress; rule 3 cancels — confirm work doesn't continue
CDM-285,Task,DELFI-L201 Other Cancer Type Review,2023-03-09,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,proj-cancer-review,study-l201,Pre-2026. Cancer type review. Parent L201.
CDM-286,Task,DELFI-L101: Site 120 12 Month Internal Form Data Entry Check,2023-03-13,Eric Dixon,CDM-79,CDM-79,Done,Done,UNASSIGNED,DQR_Listings,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-edc,study-l101,Pre-2026. EDC data entry check. Parent L101.
CDM-287,Subtask,Bug: Fix duplicate records of Consent Listing,2023-03-14,Vincent Puga-Aragon (inactive),CDM-168,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,proj-dqr,study-l201,Pre-2026. DQR consent listing bug fix.; [subtask: parent stays at CDM-168; epic inherited]
CDM-288,Subtask,Add Duplication Check Logic to DQRM,2023-03-14,Vincent Puga-Aragon (inactive),CDM-159,CDM-80,To Do,,Vincent Puga-Aragon,,Pre-2026 Legacy,Dismissed,Won't Do,Vincent Puga-Aragon (inactive),cat-programming,proj-dqr,study-l201,[Sonnet re-pass] Add Duplication Check Logic to DQRM — explicitly the DQR Manager (DQRM) platform.; Pre-2026. DQRM logic enhancement. Generic parent.; [subtask: parent stays at CDM-159; epic inherited]
CDM-289,Task,DELFI-L101: Subject Transfer - Site 104 to Site 119,2023-03-15,Eric Dixon,CDM-79,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-operations,proj-edc,study-l101,Pre-2026. Subject transfer (EDC/operational). Parent L101.
CDM-290,Subtask,Update 'AV 2023 Samples?' column to include CDS derived variable group for AV subjects,2023-03-16,Eric Dixon,CDM-278,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cpt,study-l101,Pre-2026. CPT AV column update. Parent L101 table.; [subtask: parent stays at CDM-278; epic inherited]
CDM-291,Subtask,Update FU_12M_Expected variable to include CDS derived variable group for AV subjects,2023-03-16,Eric Dixon,CDM-278,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cpt,study-l101,Pre-2026. CPT variable update. Parent L101.; [subtask: parent stays at CDM-278; epic inherited]
CDM-292,Subtask,Update Evaluation variable to include CDS derived variable group for AV subjects,2023-03-16,Eric Dixon,CDM-278,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,Eric Dixon (← reporter),cat-operations,proj-cpt,study-l101,Pre-2026. CPT evaluation variable. Parent L101.; [subtask: parent stays at CDM-278; epic inherited]
CDM-293,Task,DELFI-L201 Clario Workflow Review Tracker,2023-03-20,Lee Ming Sun (inactive),,,To Do,,UNASSIGNED,,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-reporting,proj-metrics,study-l201,Pre-2026. Clario workflow tracker (metrics). L201.
CDM-294,Task,TS: Merge JHU data sources,2023-03-21,Erica Peters (inactive),,,Done,Done,Erica Peters,,Pre-2026 Legacy,Done,Done,Erica Peters (inactive),cat-programming,proj-pipeline,study-cross,"[Sonnet re-pass] TS: Merge JHU data sources — translational science data merge, pipeline work.; Pre-2026. TS merge data sources. No study."
CDM-295,Task,TS: Clean Foda dataset,2023-03-21,Erica Peters (inactive),,,Done,Done,Erica Peters,,Pre-2026 Legacy,Done,Done,Erica Peters (inactive),cat-programming,proj-pipeline,study-cross,"[Sonnet re-pass] TS: Clean Foda dataset — translational science dataset cleaning, pipeline work.; Pre-2026. TS data cleaning. No study."
CDM-296,Subtask,Update filter for late forms listing,2023-03-23,Vincent Puga-Aragon (inactive),CDM-195,CDM-80,Done,Done,Vincent Puga-Aragon,,Pre-2026 Legacy,Done,Done,Vincent Puga-Aragon (inactive),cat-operations,proj-cro,study-l201,Pre-2026. PPD report listing update.; [subtask: parent stays at CDM-195; epic inherited]
CDM-297,Task,DELFI-L101-NYU Screening Data Pipeline Scripts,2023-03-24,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-pipeline,study-l101,Pre-2026. Pipeline scripts. Parent L101.
CDM-298,Subtask,Update pipeline scripts for data extraction,2023-03-24,Lee Ming Sun (inactive),CDM-297,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-pipeline,study-l101,Pre-2026. Pipeline script update. Parent L101.; [subtask: parent stays at CDM-297; epic inherited]
CDM-299,Task,DELFI-L101-NYU Bronchoscopy Data Pipeline Scripts,2023-03-24,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,UNASSIGNED,,Pre-2026 Legacy,Done,Done,UNASSIGNED,cat-programming,proj-pipeline,study-l101,Pre-2026. Pipeline scripts. Parent L101.
