cdm_key,testcdm_key,type,summary,match_quality,notes
CDM-569,TESTCDM-277,Task,DELFI-L101: Report Extraction Tracker,exact,
CDM-570,TESTCDM-278,Subtask,Add priority column into the Report Extraction Tracker,exact,
CDM-577,TESTCDM-279,Subtask,Add Premier Review Columns,exact,
CDM-580,TESTCDM-280,Task,DELFI-L101: Request to refrain aliquot shipment - Participant List,exact,
CDM-591,TESTCDM-281,Task,DELFI-L101: Data Quality Review Manager - Replace ClinOps reviews with CDM Reviews,exact,
CDM-80,TESTCDM-282,Epic,DELFI-L201,exact,
CDM-6,TESTCDM-283,Task,Science37 Integration With Rave Tested and Approved,exact,
CDM-7,TESTCDM-284,Task,L201 CRF Approval,exact,
CDM-26,TESTCDM-285,Task,L201 Initial CDMP April 2022,exact,
CDM-92,TESTCDM-286,Task,Create a spreadsheet for all forms/fields in L201 to facilitate a meeting for critical variables to SDV,exact,
CDM-122,TESTCDM-287,Task,EDC Build v2.0,exact,
CDM-123,TESTCDM-288,Subtask,Edit Check Specifications,exact,
CDM-124,TESTCDM-289,Subtask,tSDV Specifications,exact,
CDM-125,TESTCDM-290,Subtask,SUAT,exact,
CDM-133,TESTCDM-291,Task,Validation for DELFI-L201 Smoking History Calculator v1.0,exact,
CDM-144,TESTCDM-292,Task,EDC vs LIMS Reconciliation Report,exact,
CDM-234,TESTCDM-293,Subtask,Update L201 EDC LIMS Reconciliation for Character Values in BCSPID# Fields,exact,
CDM-145,TESTCDM-294,Task,L201 Clean Patient Tracker Development,exact,
CDM-397,TESTCDM-295,Subtask,Remove Pages write out to gsheets for CPT,exact,
CDM-411,TESTCDM-296,Subtask,Add logic for 4MFU and 12MFU Clario Data,exact,
CDM-543,TESTCDM-297,Subtask,L201 CPT New Requests x6,exact,
CDM-560,TESTCDM-298,Subtask,"Records are appearing for invalid participant IDs, duplicate records where one is not a valid record, etc. ",exact,
CDM-562,TESTCDM-299,Subtask,General Comments Form should not be counted in Incomplete Pages column in the CPT.,exact,
CDM-645,TESTCDM-300,Subtask,"Add additional columns for LTFU visit dates, logic for 12 month Not Applicable forms, and Site Level summary sheet",exact,
CDM-667,TESTCDM-301,Subtask,Add unresolved queries sheet and pending sdv pages sheet,exact,
CDM-668,TESTCDM-302,Subtask,Create clean status column for threshold requirements based on the Clinical Data Cleaning Plan,exact,
CDM-670,TESTCDM-303,Subtask,Investigate and remove participants without eval flags from CPT,exact,
CDM-674,TESTCDM-304,Subtask,Add LTFU D912 completion / data entry status columns to CPT,exact,
CDM-682,TESTCDM-305,Subtask,"Remove site 1047, 1009, 1045 from Threshold Analysis flag",exact,
CDM-683,TESTCDM-306,Subtask,Add Overall Clean Status column & Clean metrics table,exact,
CDM-684,TESTCDM-307,Subtask,Sites 1009 and 1045 are closing early and should not be included in the LTFUV D912 expected flag,exact,
CDM-685,TESTCDM-308,Subtask,Sites 1009 and 1045 are closing early and did not implement protocol v4 and therefore should be considered clean even if the medical history fields are not completed.,exact,
CDM-687,TESTCDM-309,Subtask,Add Pages Requiring PI Signature to Clean Patient Tracker,exact,
CDM-688,TESTCDM-310,Subtask,Remove site 1047 from the site filter for the threshold analysis flag,exact,
CDM-689,TESTCDM-311,Subtask,Remove Pending PI Signature Pages from clean status column derivation,exact,
CDM-690,TESTCDM-312,Subtask,Update Subjects sheet to include Overall Status columns,exact,
CDM-691,TESTCDM-313,Subtask,Update LTFU Clean Status to Account for Sub-Solid Nodule Subjects,exact,
CDM-694,TESTCDM-314,Subtask,Update ltfu_expected_flag in the CPT so that lung cancer diagnoses are noted as not requiring LTFU Visits,exact,
CDM-695,TESTCDM-315,Subtask,Add columns to the Sites sheet that summarizes counts and percents of the LTFU Visit Completion Cases,exact,
CDM-146,TESTCDM-316,Task,"DELFI-L201 Inclusion 2, 3, 4 Review ",exact,
CDM-147,TESTCDM-317,Task,4 Month Follow-Up Visit Tracking,exact,
CDM-148,TESTCDM-318,Task,DELFI-L201 Inclusion 5 Review,exact,
CDM-267,TESTCDM-319,Subtask,Update Inclusion 5 Review Logic,exact,
CDM-370,TESTCDM-320,Subtask,Add Additional Fields to Inclusion 5 Listing,exact,
CDM-473,TESTCDM-321,Subtask,DQR Listings - L201 Add consent date to listing,exact,
CDM-149,TESTCDM-322,Task,Validation for DELFI-L201 Smoking History Calculator v2.0,exact,
CDM-150,TESTCDM-323,Task,DELFI-L201 Exclusion 1 Review,exact,
CDM-264,TESTCDM-324,Subtask,DQR: Exclusion 1 Review - handle duplicate records in raw data,exact,
CDM-151,TESTCDM-325,Task,DELFI-L201 Exclusion 2 Review,exact,
CDM-265,TESTCDM-326,Subtask,DQR: Exclusion 2 Review - handle duplicate records in raw data,exact,
CDM-158,TESTCDM-327,Task,DELFI-L201 Participant Disposition,exact,
CDM-619,TESTCDM-328,Subtask,DELFI-L201 Participant Disposition Review: Fix duplicate record issue,exact,
CDM-159,TESTCDM-329,Task,DELFI-L201 Data Quality Review Manager,exact,
CDM-288,TESTCDM-330,Subtask,Add Duplication Check Logic to DQRM,exact,
CDM-162,TESTCDM-331,Task,EDC-LIMS Reconciliation Update,exact,
CDM-163,TESTCDM-332,Task,Functionalizing l201_dqr_listings for l201datar pipeline,exact,
CDM-164,TESTCDM-333,Task,L201 Subject Validity Verification,exact,
CDM-165,TESTCDM-334,Task,DELFI-L201 Clario Workflow Status Metrics,exact,
CDM-166,TESTCDM-335,Task,DELFI-L201 EDC Page Status Metrics,exact,
CDM-260,TESTCDM-336,Subtask,Update edc_crf_metadata_summarize_page_data() to adjust pending_sdv,exact,
CDM-266,TESTCDM-337,Subtask,Update Expected SDV to only be assessed for Entered Pages,exact,
CDM-306,TESTCDM-338,Subtask,Assign Tier 1 when tSDV does not assign a tier,exact,
CDM-168,TESTCDM-339,Task,DELFI-L201 Consent Review Listing,exact,
CDM-236,TESTCDM-340,Subtask,Add SDV Status of Consent Form into Listing,exact,
CDM-239,TESTCDM-341,Subtask,Reorder Fields for Easier Review,exact,
CDM-250,TESTCDM-342,Subtask,Update SDV Status Logic,exact,
CDM-274,TESTCDM-343,Subtask,Update SDV Status Logic - account for metric lag for newly entered data,exact,
CDM-287,TESTCDM-344,Subtask,Bug: Fix duplicate records of Consent Listing,exact,
CDM-472,TESTCDM-345,Subtask,DQR Listings - L201 Add Consent Version,exact,
CDM-169,TESTCDM-346,Task,DELFI-L201 AE Listing,exact,
CDM-171,TESTCDM-347,Task,DELFI-L201 Subject Usability Table,exact,
CDM-172,TESTCDM-348,Task,L201 Rave EDC Data Entry Metrics,exact,
CDM-246,TESTCDM-349,Subtask,[Bug Fix] Expected Visit Date Calculation for 12 Month Follow-Up Visit,exact,
CDM-174,TESTCDM-350,Task,DELFI-L201 Subject Information Table,exact,
CDM-643,TESTCDM-351,Subtask,Add new columns to subject information table,exact,
CDM-644,TESTCDM-352,Subtask,DELFI-L201 Clean Patient Tracker - edc page status development,exact,
CDM-681,TESTCDM-353,Subtask,update subsolid_nodule_flag with ADSL SSNFL variable,exact,
CDM-176,TESTCDM-354,Task,DELFI-L201 EDC Query Status,exact,
CDM-177,TESTCDM-355,Task,L201 EDC Query Metrics,exact,
CDM-178,TESTCDM-356,Task,DELFI-L201 CT Scan Review,exact,
CDM-179,TESTCDM-357,Task,DELFI-L201 Blood Specimen Collection Review,exact,
CDM-280,TESTCDM-358,Subtask,Fix duplication of rows in Blood Specimen Collection Listing,exact,
CDM-180,TESTCDM-359,Task,DELFI-L201 tSDV Module Monitoring,exact,
CDM-182,TESTCDM-360,Task,L201 Rave EDC SDV Metrics,exact,
CDM-184,TESTCDM-361,Task,DELFI-L201 Derived Clario Workflow Data,exact,
CDM-413,TESTCDM-362,Subtask,Add 4MFU and 12MFU Derived Clario Workflow Data,exact,
CDM-187,TESTCDM-363,Task,DELFI-L201 S37 Integration Data Change Activity Monitoring,exact,
CDM-193,TESTCDM-364,Task,DELFI-L201 Projected 4 Month Follow-Up Listing,exact,
CDM-194,TESTCDM-365,Task,DELFI-L201 Suspicious Nodule Listing,exact,
CDM-195,TESTCDM-366,Task,DELFI-L201 PPD Report,exact,
CDM-245,TESTCDM-367,Subtask,Update Rave EDC Data Entry to include total late forms for average and max late tables,exact,
CDM-296,TESTCDM-368,Subtask,Update filter for late forms listing,exact,
CDM-375,TESTCDM-369,Subtask,Add S37 Sub-I Information,exact,
CDM-201,TESTCDM-370,Task,DELFI-L201 Protocol Deviation Review,exact,
CDM-249,TESTCDM-371,Subtask,Update CT and BC windows and Clarify Conditions for CT Scan Upload,exact,
CDM-396,TESTCDM-372,Subtask,Add S37 Sub-Ids,exact,
CDM-204,TESTCDM-373,Task,Clario SFTP to S3 scripts,exact,
CDM-224,TESTCDM-374,Task,DELFI-L201 Suspicious Cases Without Pathology Reports,exact,
CDM-237,TESTCDM-375,Subtask,Add New Column: Cancer Yes/No,exact,
CDM-244,TESTCDM-376,Subtask,Update logic to summarize Clario report to have unique records,exact,
CDM-247,TESTCDM-377,Subtask,[Bug Fix] Address review status joining issues,exact,
CDM-251,TESTCDM-378,Subtask,Add ClinOps Reviewer Column,exact,
CDM-225,TESTCDM-379,Task,L201 Jupyter Notebook EDC Metrics,exact,
CDM-275,TESTCDM-380,Subtask,Transition L201 Jupyter Notebook EDC Metrics to using PositConnect and Restructure Outputs,exact,
CDM-309,TESTCDM-381,Subtask,Create Bubble Plots for EDC Metrics,exact,
CDM-346,TESTCDM-382,Subtask,Minor bubble plot updates,exact,
CDM-355,TESTCDM-383,Subtask,Update SDV bubble label threshold,exact,
CDM-376,TESTCDM-384,Subtask,Add logic to handle sub site columns,exact,
CDM-248,TESTCDM-385,Task,DELFI-L201 Re-Enrollment List,exact,
CDM-257,TESTCDM-386,Task,DELFI-L201 Lung RADS 4 - Expected Pathology,exact,
CDM-270,TESTCDM-387,Task,DELFI-L201 Plasma Volume Verification,exact,
CDM-271,TESTCDM-388,Task,DELFI-L201 Sample Recollection Due to Hemolysis,exact,
CDM-282,TESTCDM-389,Task,DELFI-L201 Other Cancer Type Review,collision-resolved,"shared summary with 1 other(s); picked lowest unused: CDM-282 from ['CDM-282', 'CDM-285']"
CDM-283,TESTCDM-390,Task,Upload Clario Data to S3,exact,
CDM-284,TESTCDM-391,Task,Create a utility script for restoring old comments,exact,
CDM-285,TESTCDM-392,Task,DELFI-L201 Other Cancer Type Review,collision-resolved,shared summary with 1 other(s); picked first unused
CDM-332,TESTCDM-393,Subtask,Add Other Cancer Type to pipeline,exact,
CDM-304,TESTCDM-394,Task,L201 Clario Workflow Metadata Update,exact,
CDM-305,TESTCDM-395,Task,DELFI-L201 EDC Release v3 - Missing Datapoints,exact,
CDM-307,TESTCDM-396,Task,DELFI-L201 EDC Release v3 - tSDV Alignment,exact,
CDM-308,TESTCDM-397,Task,DELFI-L201 L101 Enrollment Verification Listing,exact,
CDM-318,TESTCDM-398,Task,DELFI-L201 Suspicious Nodule Case Tracker,exact,
CDM-335,TESTCDM-399,Subtask,Add pathology column and rearrange confirmed cancer column,exact,
CDM-354,TESTCDM-400,Subtask,Add enrollment columns and 4mfu query status columns,exact,
CDM-362,TESTCDM-401,Subtask,Merge review status and comments from previous suspicous nodules listing,exact,
CDM-366,TESTCDM-402,Subtask,Add cancer type and provisional cancer status variables,exact,
CDM-374,TESTCDM-403,Subtask,Add Clario Visit Hyperlinks to Enrollment Clario Visit Status and 4MFU Clario Visit Status Fields,exact,
CDM-378,TESTCDM-404,Subtask,Add Participant Disposition Status and Discontinuation Reason,exact,
CDM-379,TESTCDM-405,Subtask,Clario Enrollment and 12MFU Cancer Case Tracker,exact,
CDM-415,TESTCDM-406,Subtask,Fix multiple 4MFU visit,exact,
CDM-425,TESTCDM-407,Subtask,Add MM tab to Clario Case Tracker,exact,
CDM-446,TESTCDM-408,Subtask,Add Confirmed Cancer Tracker,exact,
CDM-474,TESTCDM-409,Subtask,DQR Listings - L201 Add a column in 4 and 12 mo tabs to note DELFI re-review complete ,exact,
CDM-323,TESTCDM-410,Task,L201 tSDV Monitoring Report,exact,
CDM-329,TESTCDM-411,Task,Automate slide generation for the Centralized Data Review meeting,exact,
CDM-330,TESTCDM-412,Subtask,Subset and reorder tables by total participants per site,exact,
CDM-331,TESTCDM-413,Subtask,Create parallel file to streamline slide generation,exact,
CDM-340,TESTCDM-414,Task,Derived RADS Score Listing,exact,
CDM-618,TESTCDM-415,Subtask,DELFI-L201 Derived RADS Score Review: Fix duplicate record issue,exact,
CDM-345,TESTCDM-416,Task,Inclusion #2-4 Duplication Bug for Issue Generation,exact,
CDM-371,TESTCDM-417,Task,DELFI-L201 General Edit Checks Structure,exact,
CDM-372,TESTCDM-418,Subtask,DELFI-L201 Inactivated Casebooks Check,exact,
CDM-373,TESTCDM-419,Subtask,DELFI-L201 Suspicious Criteria Checks,exact,
CDM-380,TESTCDM-420,Task,Retired L201 Suspicous Nodules Pathology listing,exact,
CDM-384,TESTCDM-421,Task,L201 PPD KPIs,exact,
CDM-385,TESTCDM-422,Task,PPD Report Add Total S37 summation row,exact,
CDM-387,TESTCDM-423,Task,L201 Inclusion #5 Duplicate Fix in join df,exact,
CDM-391,TESTCDM-424,Task,DELFI-L201 Duplicate Enrollment Review,exact,
CDM-416,TESTCDM-425,Task,DELFI-L201 Surf Search Posit-Connect Report,exact,
CDM-423,TESTCDM-426,Subtask,Bug fix: Issue found in Surf_Searcher_Report when generating the tube_barcode_id selection list.,exact,
CDM-417,TESTCDM-427,Task,Add latest ALS to AWS directory,exact,
CDM-418,TESTCDM-428,Task,CDR Updates from August Meeting,exact,
CDM-426,TESTCDM-429,Task,Provisional Cancer Weekly Summary,exact,
CDM-438,TESTCDM-430,Subtask,Fix order of visit status,exact,
CDM-432,TESTCDM-431,Task,General Comments DQR Listing,exact,
CDM-439,TESTCDM-432,Task,L201 EDC-LIMS Monthly Metrics,exact,
CDM-471,TESTCDM-433,Task,Update 12M FUP Report,exact,
CDM-478,TESTCDM-434,Task,DQR Listings - L201 Calculated Values ,exact,
CDM-479,TESTCDM-435,Task,DQR Listings - L201 Eligibility PD Listing,exact,
CDM-480,TESTCDM-436,Task,L201: CPT: Completion Status,exact,
CDM-484,TESTCDM-437,Task,DQR Listings - L201 Reconcile Duplicate Lung Cancers ,exact,
CDM-485,TESTCDM-438,Task,DQR Listings - L201 12 M FUV and Disposition,exact,
CDM-486,TESTCDM-439,Task,DELFI-L201: Lung Rads Score Not Reported DQR,exact,
CDM-492,TESTCDM-440,Task,L201: Missing 4 month follow up visit for PPD,exact,
CDM-508,TESTCDM-441,Task,DQR Listings - L201 Disposition Cross Check,exact,
CDM-511,TESTCDM-442,Task,L201 Metric Report Update Missing Forms,exact,
CDM-512,TESTCDM-443,Task,L201 Remove sites 1084 and 1054 from all metrics reports and dashboards,exact,
CDM-516,TESTCDM-444,Task,L201 DQR Protocol Deviation Listing Updates,exact,
CDM-527,TESTCDM-445,Subtask,Add script to cdm_monorepo that uploads ppd deviations file to s3,exact,
CDM-537,TESTCDM-446,Subtask,Write exports of full DELFI Protocol Deviations to s3,exact,
CDM-523,TESTCDM-447,Task,DELIF-L201: Duplicate records found on Late Forms Listing,exact,
CDM-532,TESTCDM-448,Task,DELFI-L201: EDC Incomplete Forms Table,exact,
CDM-544,TESTCDM-449,Task,DELFI-L201: Refactor CDM files to incorporate Clario Reports v2.0,exact,
CDM-583,TESTCDM-450,Task,L201 Clario Case Tracker Update,exact,
CDM-587,TESTCDM-451,Subtask,"Duplicate ""Nodule Review Visit Status"" columns fix",exact,
CDM-584,TESTCDM-452,Task,L201 Tube Kit Order PDF scraper,exact,
CDM-585,TESTCDM-453,Task,L201 Tube Order PDF scraper,exact,
CDM-586,TESTCDM-454,Task,L201 Clario Case Tracker - Add Nodule Review Tracking tabs,exact,
CDM-588,TESTCDM-455,Task,Scrape the remaining Therapak orders,exact,
CDM-589,TESTCDM-456,Task,Create a final report for combined Therapak order forms,exact,
CDM-594,TESTCDM-457,Task,Update to the Clario Case Tracker tab,exact,
CDM-597,TESTCDM-458,Task,DELFI-L201: Subsolid Nodule Listing - PPD Ad Hoc Listing,exact,
CDM-672,TESTCDM-459,Subtask,Sub-Solid Nodule Flag,exact,
CDM-598,TESTCDM-460,Task,Update Clario Recon Report to align with modified Clario data transfers,exact,
CDM-601,TESTCDM-461,Task,L201 DQR Reconciling EDC and Clario Enrollment CT data,exact,
CDM-608,TESTCDM-462,Task,DELFI-L201 Kit Expiration and Sample Collection Date Review,exact,
CDM-609,TESTCDM-463,Task,DELFI-L201: Clario Enrollment CT Nodule Extractions DQR,exact,
CDM-617,TESTCDM-464,Subtask,Fix spelling error for nolocot variable and correct mutate logic for other specify not expected column,exact,
CDM-610,TESTCDM-465,Task,DELFI-L201: Clario Case Tracker - LTFUVI Case Tracker,exact,
CDM-649,TESTCDM-466,Subtask,"Add MM Comments column to the 4 Month Case Tracker, 12 Month Case Tracker, and LTFU Case Tracker",exact,
CDM-669,TESTCDM-467,Subtask,"Add new manually actioned column called ""Staging Information"" to the 4 Month Case Tracker, 12 Month Case Tracker, and LTFU Case Tracker",exact,
CDM-611,TESTCDM-468,Task,"DELFI-L201: Add LT_CON, RECON, and VISDT_LT parque data to pipeline",exact,
CDM-612,TESTCDM-469,Task,Enrollment LDCT ADaM Derivation,exact,
CDM-613,TESTCDM-470,Task,DELFI-L201: Lung RADS Not Reported Listing - PPD Ad Hoc Listing,exact,
CDM-614,TESTCDM-471,Task,DELFI-L201: Lung RADS 0 Listing - PPD Ad Hoc Listing,exact,
CDM-615,TESTCDM-472,Task,DELFI-L201: 12M Negative Biopsy Listing - PPD Ad Hoc Listing,exact,
CDM-616,TESTCDM-473,Task,DELFI-L201: LTFUV1 Expected - PPD Ad Hoc Listing,exact,
CDM-664,TESTCDM-474,Subtask,DELFI-L201: The deprecate ad hoc site specific google sheet write out,exact,
CDM-620,TESTCDM-475,Task,DELFI-L201: Fix API request limit issue caused while running cdm_export_ppd_adhoc_site_reports.R ,exact,
CDM-630,TESTCDM-476,Subtask,DELFI-L201: Increase sleep duration and set reports to run on Saturdays only,exact,
CDM-621,TESTCDM-477,Task,DELFI-L201: Status Data for ClinOps Reporting Tool,exact,
CDM-622,TESTCDM-478,Task,DELFI-L201: Clario Case Tracker - Nodule Review Tracker,exact,
CDM-623,TESTCDM-479,Subtask,DELFI-L201: Add new columns to confirm that the clario forms are complete and to confirm that the oversight review has resolved,exact,
CDM-624,TESTCDM-480,Subtask,DELFI-L201: Add Clario Latest Raw last run time,exact,
CDM-625,TESTCDM-481,Task,DELFI-L201 Status Data for ClinOps Reporting Ad Hoc Report,exact,
CDM-628,TESTCDM-482,Subtask,LTFU Expected Cases: Performed vs Pending Metrics,exact,
CDM-626,TESTCDM-483,Task,DELFI-L201: Clario Case Tracker - 12MFU Case Tracker,exact,
CDM-627,TESTCDM-484,Subtask,Fix clario_case_tracker_adsl_12mfu_data_processing() filter issue,exact,
CDM-629,TESTCDM-485,Task,DELFI-L201: Protocol Team Ad hoc request,exact,
CDM-632,TESTCDM-486,Task,DELFI-L201 LTFU Visit Admin Letter Ad Hoc Site Listing,exact,
CDM-633,TESTCDM-487,Task,DELFI-L201: Medical History Amendment 3 Field Entry,exact,
CDM-634,TESTCDM-488,Task,DELFI-L201: Seqster Data Request v1,exact,
CDM-635,TESTCDM-489,Task,DELFI-L101: PPD Report - Missing Data - EDC Release v4,exact,
CDM-636,TESTCDM-490,Task,DELFI-L201: Update Config to reference latest DBMOD supplemental files,exact,
CDM-638,TESTCDM-491,Task,DELFI-L201: Clario Case Tracker - Confirmed Lung Cancers,exact,
CDM-639,TESTCDM-492,Subtask,Fix - confirmed cancers and non-cancers are not populating in the tables.,exact,
CDM-640,TESTCDM-493,Task,DELFI-L201: Clario Case Tracker - Confirmed Non-Lung Cancers,exact,
CDM-641,TESTCDM-494,Task,DELFI-L201: Clario Case Tracker - MM Provisional Case Tracker ,exact,
CDM-642,TESTCDM-495,Subtask,Updated MM Provisional Case Tracker to include LTFUV cases,exact,
CDM-646,TESTCDM-496,Task,Create a daily report for missing pages,exact,
CDM-648,TESTCDM-497,Task,Remove filter for missing pages CPT tab,exact,
CDM-650,TESTCDM-498,Task,DELFI-L201: Threshold Release - Clinical Data Cleaning Plan,exact,
CDM-651,TESTCDM-499,Subtask,DELFI-L201: Threshold Analysis - Draft CDCP & send to team for review,exact,
CDM-652,TESTCDM-500,Subtask,DELFI-L201: Threshold Analysis - Team review of draft CDCP,exact,
CDM-653,TESTCDM-501,Subtask,DELFI-L201: Threshold Analysis - Incorporate feedback on CDCP,exact,
CDM-654,TESTCDM-502,Subtask,DELFI-L201: Threshold Analysis - Finalize and Sign CDCP,exact,
CDM-655,TESTCDM-503,Task,DELFI-L201: Threshold Release - Cleaning Activities,exact,
CDM-656,TESTCDM-504,Subtask,DELFI-L201: Threshold Release - Create Clean Patient Tracker for study level clean status metrics,exact,
CDM-657,TESTCDM-505,Subtask,DELFI-L201: Threshold Release - Add clean patient tracker columns for clean status specific to the threshold release,exact,
CDM-658,TESTCDM-506,Subtask,DELFI-L201: Threshold Release - All Data Quality Reviews in Reviewed-Queried State and all queries issued,exact,
CDM-659,TESTCDM-507,Subtask,DELFI-L201: Threshold Release - All Data Quality Reviews in Reviewed Status and Answered Queries Closed,exact,
CDM-660,TESTCDM-508,Task,DELFI-L201: Threshold Release - Clinical Data Snapshot Activities,exact,
CDM-662,TESTCDM-509,Subtask,Draft and circulate the Clinical Data Snapshot Release Approval for team review,exact,
CDM-661,TESTCDM-510,Subtask,Generate s3 folder locations for L201 Clinical Data,exact,
CDM-663,TESTCDM-511,Subtask,Finalize and Sign the Clinical Data Snapshot Release Approval form,exact,
CDM-665,TESTCDM-512,Subtask,Complete Snapshot of Clinical Data Sets and supplemental files. ,exact,
CDM-666,TESTCDM-513,Task,Resolve multiple cancer records for Clario derivation in l201datar,exact,
CDM-673,TESTCDM-514,Task,L201 Ad Hoc Listing Request for SEQSTER TRB,exact,
CDM-692,TESTCDM-515,Subtask,"Add columns for data entry completed (count & percent), percent for completed per protocol cols, suspicious nodule cols, and Add new sheet for site 1037 sub sites.",exact,
CDM-693,TESTCDM-516,Subtask,Update columns `Number of participants with LTFUV D912 Data Entered` & `Number of participants with LTFUV D912 Completed Per Protocol`,exact,
CDM-696,TESTCDM-517,Subtask,Correct enrolled counts and ltfu completed counts per site,exact,
CDM-675,TESTCDM-518,Task,IE - PD Listing: New Sheet in Protocol Deviation Review DQR,exact,
CDM-686,TESTCDM-519,Subtask,IE - PD Listing sheet name/link is not populating in the Data Quality Review Manager,exact,
CDM-697,TESTCDM-520,Task,DELFI-L201: Medical Monitoring Non-Cancer Case Review,exact,
CDM-467,TESTCDM-521,Epic,DELFI-L301,exact,
CDM-468,TESTCDM-522,Task,Create Chapter 1 Tracker,exact,
CDM-482,TESTCDM-523,Task,DELFI-L301: Build Chapter 2 Checker,exact,
CDM-483,TESTCDM-524,Task,DELFI-L301: Update Chapter 1 Checker to include new Medrio source file path,exact,
CDM-500,TESTCDM-525,Task,L301: Create L301 Bulk Upload Pre-Checker,exact,
CDM-505,TESTCDM-526,Task,L301: Update Chapter 1 Checker for DARTNet,exact,
CDM-506,TESTCDM-527,Task,L301: Update Chapter 2 Checker for DARTNet,exact,
CDM-515,TESTCDM-528,Task,Create DQR: Lung cancer diagnosis of 2022 or later.,exact,
CDM-517,TESTCDM-529,Task,Create participant id creation tracker,exact,
CDM-518,TESTCDM-530,Task,Create Outcomes collector and sorter,exact,
CDM-519,TESTCDM-531,Task,DQR: date of last practice visit query manager,exact,
CDM-520,TESTCDM-532,Task,DQR: enrollment date manager,exact,
CDM-521,TESTCDM-533,Task,DQR: outcomes data checker,exact,
CDM-522,TESTCDM-534,Task,DQR: FLL data checker,exact,
CDM-524,TESTCDM-535,Task,L301: Various small fixes.,exact,
CDM-526,TESTCDM-536,Task,SSHC specific clean patient tracker,exact,
CDM-551,TESTCDM-537,Task,L301: Create data stitcher,exact,
CDM-552,TESTCDM-538,Task,Form Status report,exact,
CDM-553,TESTCDM-539,Task,Add FLL tracker and Outcomes Wrangler to Dagster pipeline,exact,
CDM-554,TESTCDM-540,Task,DQR: Years Since Quit = 0,exact,
CDM-559,TESTCDM-541,Task,L301: Ops MA data crawler,exact,
CDM-564,TESTCDM-542,Task,DQR: Update EMR data currency logic to indicate whether we've received transfers for each month since 01Oct2024,exact,
CDM-590,TESTCDM-543,Task,Add functions to cdm pipeline,exact,
CDM-631,TESTCDM-544,Task,Updates and fixes for L301 DBL,exact,
CDM-11,TESTCDM-545,Task,Clinical Data Lock SOP,exact,
CDM-31,TESTCDM-546,Task,Determine Data Lock Mechanism,exact,
CDM-86,TESTCDM-547,Task,CDM Team Discussion Topics,exact,
CDM-87,TESTCDM-548,Subtask,Data handling for age-related PHI (e.g. ages >= 90),exact,
CDM-115,TESTCDM-549,Task,Intro to R,exact,
CDM-117,TESTCDM-550,Subtask,Read up on dplyr package,exact,
CDM-116,TESTCDM-551,Subtask,Find a R course that goes over R-Shiny,exact,
CDM-120,TESTCDM-552,Task,Review FU dataset component data export to ensure all expected variables are being exported,exact,
CDM-121,TESTCDM-553,Task,Set up AWS Credentials for Accessing S3,exact,
CDM-126,TESTCDM-554,Task,Update System Access Requests Confluence Page,exact,
CDM-139,TESTCDM-555,Task,CDM: L101 Database Update v.12: UAT: BC.BCREFID Field update,exact,
CDM-140,TESTCDM-556,UAT Tests,CDM: L101 Database Update v.12: UAT: BC.BCREFID Field update: R1.01,exact,
CDM-141,TESTCDM-557,UAT Tests,CDM: L101 Database Update v.12: UAT: BC.BCREFID Field update: R1.02,exact,
CDM-142,TESTCDM-558,UAT Tests,CDM: L101 Database Update v.12: UAT: BC.BCREFID Field update: R1.03,exact,
CDM-143,TESTCDM-559,Task,CLONE - CDM: L101 Database Update v.12: UAT:,exact,
CDM-153,TESTCDM-560,Task,DELFI-L101 NYU Queries,exact,
CDM-157,TESTCDM-561,EDC Requirement,TEST ISSUE (L101 Database Update v.12),exact,
CDM-160,TESTCDM-562,EDC Requirement,testy,exact,
CDM-161,TESTCDM-563,Task,EDC Build Management - Database Specification Comparison,exact,
CDM-170,TESTCDM-564,Task,Translational Research: Dashboard v1,exact,
CDM-183,TESTCDM-565,Task,Investigate JIRA API for TR Dashboard,exact,
CDM-188,TESTCDM-566,Task,DELFI-L101 CPT Priority column update,exact,
CDM-190,TESTCDM-567,Task,Science Engineering & Technology Presentation,exact,
CDM-197,TESTCDM-568,Task,Translational Research Castor Edit Check Listings,exact,
CDM-200,TESTCDM-569,Task,DELFI-L101: Cancer Status Review Dropped Review Status Issue,exact,
CDM-202,TESTCDM-570,Task,DELFI-L101: Cancer Status Review - Refactor date read-write code,exact,
CDM-226,TESTCDM-571,Task,Data Release Process Improvements,exact,
CDM-228,TESTCDM-572,Task,DELFI-L101 Refactor l101datar cdm managed files,exact,
CDM-241,TESTCDM-573,Task,DELFI-L201 Pipeline Refactor Update to delfiawsr::read_s3(),exact,
CDM-258,TESTCDM-574,Task,DELFI-L101: Requirements for creating Site 201-299 ,exact,
CDM-261,TESTCDM-575,Task,Update NYU FANSS Tube Barcode IDs,exact,
CDM-268,TESTCDM-576,Task,LEMA: Merge new columns,exact,
CDM-272,TESTCDM-577,Task,TS: Automate Final Data S3 folder into one Excel workbook,exact,
CDM-281,TESTCDM-578,Task,Create Non-cancer Control dataset,exact,
CDM-293,TESTCDM-579,Task,DELFI-L201 Clario Workflow Review Tracker,exact,
CDM-294,TESTCDM-580,Task,TS: Merge JHU data sources,exact,
CDM-295,TESTCDM-581,Task,TS: Clean Foda dataset,exact,
CDM-321,TESTCDM-582,Task,DELFI-L101: Inclusion 2-4 listing issue,exact,
